"label","family","n_used","med_terms_per_gene","mean_sim","sd_sim","q10_sim","q90_sim","best_sil","best_cfg","best_k","largest_cluster_frac"
"WT_heat_up","query",196,9,0.268788960422431,0.128017349386365,0.120837540220991,0.427426883621812,0.131988663377898,"average",2,0.994897959183674
"WT_heat_down","gate_sibling",99,4,0.230815356999216,0.155186324493971,0.0873992248585435,0.389319969096595,0.217025008365512,"ward.D2",11,0.212121212121212
"KO_heat_up","gate_sibling",215,8,0.262672136727594,0.130352654035409,0.117066273521734,0.4157884148916,0.127697743107734,"average",2,0.995348837209302
"HSR_core","curated_lens",47,10,0.364843808279121,0.190146799527547,0.185045704422856,0.544990908677079,0.213823130668262,"average",2,0.978723404255319
"TCR_activation","curated_lens",65,15,0.374014417494529,0.116048664055315,0.225375874298741,0.524648380465217,0.170023173676797,"average",2,0.953846153846154
"Lombardi2022_HIF","curated_lens",95,6,0.239711614669633,0.132520043271638,0.105360141720814,0.388981876855008,0.18835347186232,"ward.D2",15,0.178947368421053
"GO:0009408 response to heat [all 91]","single_go_term",91,16,0.359484150562388,0.140815913154967,0.231166993200014,0.487951822316918,0.144887540180591,"ward.D2",15,0.142857142857143
"GO:0006986 response to unfolded protein [all 109]","single_go_term",109,14,0.385077992416723,0.134018999205015,0.241546050972956,0.535130286329928,0.167045534233826,"average",2,0.990825688073395
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 1]","single_go_term",196,10,0.349781205501952,0.153902325389965,0.196814167876577,0.505710136397836,0.17973571537911,"average",2,0.994897959183674
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 2]","single_go_term",196,10,0.361508384536703,0.160175748111374,0.20360546422774,0.530386408660677,0.190228523409975,"average",2,0.994897959183674
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 3]","single_go_term",196,10.5,0.356954900477675,0.162239097966201,0.194517333899548,0.525978614714247,0.192435174885545,"complete",2,0.678571428571429
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 4]","single_go_term",196,10,0.360309091859005,0.155262820329485,0.203624391366885,0.522238015412529,0.174606536532303,"ward.D2",2,0.658163265306122
"GO:0034976 response to endoplasmic reticulum stress [196 of 285, draw 5]","single_go_term",196,10,0.35154004691714,0.147384363132298,0.200384299516336,0.50673515089567,0.178648496360068,"average",2,0.994897959183674
"GO:0001666 response to hypoxia [196 of 236, draw 1]","single_go_term",196,23,0.346237650650621,0.108009374775767,0.220639342372162,0.477057826842808,0.137809799486664,"average",2,0.913265306122449
"GO:0001666 response to hypoxia [196 of 236, draw 2]","single_go_term",196,24,0.350745876540476,0.11079158653651,0.219768590954882,0.486714244817171,0.144287133996442,"average",2,0.954081632653061
"GO:0001666 response to hypoxia [196 of 236, draw 3]","single_go_term",196,23.5,0.346981994851078,0.105640096075334,0.225824216926893,0.473568230995718,0.117807880062594,"average",2,0.994897959183674
"GO:0001666 response to hypoxia [196 of 236, draw 4]","single_go_term",196,22.5,0.344689224621713,0.110299842884341,0.216347258384603,0.478699770861159,0.135262238111509,"average",2,0.933673469387755
"GO:0001666 response to hypoxia [196 of 236, draw 5]","single_go_term",196,24,0.344090387253166,0.107566877725155,0.218579346382472,0.473007976424495,0.138716232557908,"average",2,0.933673469387755
"GO:0006954 inflammatory response [196 of 832, draw 1]","single_go_term",196,18.5,0.333175379138989,0.104872325847551,0.204573298972647,0.464576078755525,0.133608832087965,"average",2,0.872448979591837
"GO:0006954 inflammatory response [196 of 832, draw 2]","single_go_term",196,16,0.313071630808505,0.109793441774111,0.186554214224109,0.44713216139018,0.120438594249845,"average",2,0.964285714285714
"GO:0006954 inflammatory response [196 of 832, draw 3]","single_go_term",196,15.5,0.326825747419946,0.116896925126133,0.195877164557778,0.464816628405603,0.134308778382188,"average",2,0.979591836734694
"GO:0006954 inflammatory response [196 of 832, draw 4]","single_go_term",196,17.5,0.328911580521379,0.11783971138074,0.19658568324235,0.466384511830571,0.141910485915638,"average",2,0.994897959183674
"GO:0006954 inflammatory response [196 of 832, draw 5]","single_go_term",196,16,0.316877339295873,0.109497888046204,0.182815158070776,0.457287831736847,0.13686996118292,"average",2,0.989795918367347
"uniform_null_01","null_uniform",196,4.5,0.236262731627876,0.154018219211472,0.0920373125930136,0.391600394554933,0.207709909187684,"pam",14,0.183673469387755
"uniform_null_02","null_uniform",196,4,0.241112690604799,0.172269413785169,0.0897835753641728,0.390145958539967,0.221662210333635,"ward.D2",15,0.158163265306122
"uniform_null_03","null_uniform",196,3,0.226940273643527,0.16499153784094,0.0818991353554577,0.382591093117409,0.193558464698887,"ward.D2",15,0.142857142857143
