"library_id","PC1","PC2","lib","temp","genotype","group"
"12630-RS-021",-20.6313177078321,1.13516022876953,"021","37","WT","WT_37"
"12630-RS-022",-18.8119783450042,-1.59317153217717,"022","37","WT","WT_37"
"12630-RS-023",-17.5525599136658,-2.91671896497544,"023","37","WT","WT_37"
"12630-RS-024",-9.68606695835074,-8.42803318169277,"024","37","WT","WT_37"
"12630-RS-025",-23.067964970834,2.83354182417299,"025","37","WT","WT_37"
"12630-RS-026",-18.9950642679321,1.58848364032127,"026","37","cGASKO","cGASKO_37"
"12630-RS-027",-18.704349118064,-0.93442784671465,"027","37","cGASKO","cGASKO_37"
"12630-RS-028",-20.8575969198889,0.590212297694192,"028","37","cGASKO","cGASKO_37"
"12630-RS-029",-18.437623494875,0.272445374977087,"029","37","cGASKO","cGASKO_37"
"12630-RS-030",-18.5204424354959,3.8078603899473,"030","37","cGASKO","cGASKO_37"
"12630-RS-031",16.5064193453287,-3.35967380922503,"031","39","WT","WT_39"
"12630-RS-032",16.4327443368756,-4.65025721454199,"032","39","WT","WT_39"
"12630-RS-033",21.4377879006409,-2.00149630149018,"033","39","WT","WT_39"
"12630-RS-034",22.4880611866244,-6.51177003170581,"034","39","WT","WT_39"
"12630-RS-035",15.3000129041133,1.5322032260659,"035","39","WT","WT_39"
"12630-RS-036",19.8405707134097,3.1998711618507,"036","39","cGASKO","cGASKO_39"
"12630-RS-037",19.3818208682156,1.08433743050629,"037","39","cGASKO","cGASKO_39"
"12630-RS-038",19.9980699657738,2.21354931457234,"038","39","cGASKO","cGASKO_39"
"12630-RS-039",19.5553781190784,4.14338788594938,"039","39","cGASKO","cGASKO_39"
"12630-RS-040",14.3240987918825,7.99449610769609,"040","39","cGASKO","cGASKO_39"
