contrast,role,direction,gate,n_mouse,n_human,n_dropped_no_ortholog,n_dropped_stale_query_symbol,n_dropped_unmapped_total,n_query_symbol_normalised,n_many_mapped,file
WT_heat,primary,up,fdr_logfc,213,202,8,1,9,3,0,signatures/WT_heat/WT_heat_up.txt
WT_heat,primary,down,fdr_logfc,126,96,19,7,26,2,1,signatures/WT_heat/WT_heat_down.txt
WT_heat,primary,ranked,fdr_logfc,19679,13128,4365,2001,6366,144,104,signatures/WT_heat/WT_heat_ranked.rnk
KO_heat,comparator,up,fdr_logfc,239,221,11,5,16,3,0,signatures/KO_heat/KO_heat_up.txt
KO_heat,comparator,down,fdr_logfc,153,115,24,8,32,2,2,signatures/KO_heat/KO_heat_down.txt
KO_heat,comparator,ranked,fdr_logfc,19679,13128,4365,2001,6366,144,104,signatures/KO_heat/KO_heat_ranked.rnk
Interaction,comparator,up,fdr_logfc,9,7,1,0,1,0,0,signatures/Interaction/Interaction_up.txt
Interaction,comparator,down,fdr_logfc,0,0,0,0,0,0,0,signatures/Interaction/Interaction_down.txt
Interaction,comparator,ranked,fdr_logfc,19679,13128,4365,2001,6366,144,104,signatures/Interaction/Interaction_ranked.rnk
Interaction,comparator,up,fdr_only,23,19,1,0,1,1,1,signatures/Interaction/Interaction_fdrOnly_up.txt
Interaction,comparator,down,fdr_only,0,0,0,0,0,0,0,signatures/Interaction/Interaction_fdrOnly_down.txt
